date,Day Type,Holiday,Moon Calendar,School Events,Rainfall_mm,Max_temp_celsius,Min_temp_celsius,Season,no_of_passengers,no_of_adults,no_of_children,total_fare_collected,no_of_full_fare_tickets,no_of_C/P_tickets,no_of_buses,no_of_trips,no_of_MHL_passengers,no_of_city_ordinary_bus,no_of_metro_express_bus,no_of_pallevelug_bus,no_of_other_bus,no_of_metro_delux_bus,no_of_express_bus
2022-06-19,6,0,20,2,90.1390598228438,33.1273270181621,24.8348446925229,2,5596,5454,142,117255,4479,1117,16,83,0,13,3,0,0,0,0
2022-06-20,0,0,21,0,42.8413122796754,32.4177194352774,23.9111631395702,2,6375,6276,99,120405,4916,1459,18,93,0,14,4,0,0,0,0
2022-06-21,1,0,22,0,62.6880903780562,29.634060575091,23.1567340065109,2,6063,5919,144,121237,4969,1093,18,94,0,14,4,0,0,0,0
2022-06-22,2,0,23,0,99.7044347300635,28.6340053987858,23.0055588998086,2,4814,4757,57,102240,4137,677,17,89,0,13,4,0,0,0,0
2022-06-23,3,0,24,0,33.0358503060899,32.6825814633306,24.568874734312,2,5592,5509,83,88530,3641,1951,16,75,0,13,3,0,0,0,0
2022-06-24,4,0,25,0,61.1148736133151,30.9435824645057,25.0143915319009,2,5666,5605,61,106540,4434,1232,16,88,0,13,3,0,0,0,0
2022-06-25,5,0,26,2,49.1202065968767,30.8570885454806,23.0710440085943,2,5941,5861,80,104805,4166,1775,18,91,0,13,5,0,0,0,0
2022-06-26,6,0,27,2,304.522830777727,26.0164337117557,23.0149152747662,2,4423,4320,103,87725,3489,934,13,67,0,10,3,0,0,0,0
2022-06-27,0,0,28,0,154.63345089352,27.3458303567778,23.0524286930225,2,6797,6698,99,126900,5312,1485,17,89,0,14,3,0,0,0,0
2022-06-28,1,0,29,0,66.4301055032491,27.9232028614434,23.6390518330501,2,5218,5140,78,99525,4133,1085,16,85,0,14,2,0,0,0,0
2022-06-29,2,0,0,0,29.4594498037142,31.0511541451053,24.0775512360885,2,4875,4819,56,86950,3558,1317,16,82,0,13,3,0,0,0,0
